project_id,buyer_name,name_source,retired_tco2e,txn_count,first_vintage,last_vintage,first_retirement_year,last_retirement_year,source_url
VCS1477,Shell,harmonized,11971853,122,2015,2020,2019,2026,
VCS1775,Eni,harmonized,10470283,20,2015,2023,2020,2026,
VCS934,Eni,harmonized,8431094,9,2017,2022,2024,2026,
VCS2505,TASC clients,harmonized,7313937,10,2021,2025,2022,2025,
VCS985,Shell,harmonized,6796229,41,2012,2018,2019,2023,
VCS1566,Primax,harmonized,6000000,2,2017,2017,2019,2019,
VCS934,Shell,harmonized,5784279,116,2013,2020,2024,2026,
VCS902,Greenchoice,harmonized,4286368,51,2011,2016,2016,2022,
CAR1480,Lenovo,harmonized,4273620,157,2021,2024,2023,2026,
VCS1851,Telstra,harmonized,3766034,9,2018,2021,2020,2023,
VCS944,Disney,harmonized,3468376,13,2012,2020,2012,2023,
VCS902,Gucci,harmonized,2935000,10,2013,2019,2020,2022,
VCS1566,Chevron,harmonized,2910799,130,2013,2015,2017,2018,
VCS1566,Biomax Biocombustibles,harmonized,2800627,29,2013,2015,2017,2018,
VCS1477,PetroChina International,harmonized,2580674,21,2015,2019,2021,2024,
VCS191,ToucanToucan,harmonized,2467925,64,2008,2011,2021,2022,
VCS674,Audi,harmonized,2415874,9,2018,2019,2021,2021,
VCS1897,Eni,harmonized,2392507,34,2018,2023,2022,2026,
VCS985,Delta Airlines,harmonized,2390500,9,2014,2017,2021,2023,
VCS2278,Volkswagen,harmonized,2338544,4,2018,2020,2023,2023,
VCS786,Delta Airlines,harmonized,2084603,26,2013,2016,2021,2022,
VCS1805,Volkswagen,harmonized,2004980,5,2020,2021,2022,2023,
VCS1477,Delta Airlines,harmonized,2000000,3,2015,2015,2021,2021,
VCS612,Shell,harmonized,1936249,10,2012,2015,2022,2023,
VCS1146,Delta Airlines,harmonized,1924850,2,2015,2016,2021,2022,
ACR117,Delta Airlines,harmonized,1900705,10,2000,2007,2022,2022,
VCS786,Delta Air Lines,harmonized,1839239,11,2010,2015,2015,2019,
VCS1566,Terpel,harmonized,1797708,180,2013,2017,2017,2019,
VCS1622,Shell,harmonized,1725894,17,2013,2018,2020,2024,
VCS674,Volkswagen,harmonized,1697647,23,2016,2019,2021,2023,
VCS1566,Exxon Mobil,harmonized,1680041,98,2013,2015,2017,2018,
VCS1477,CPC Corporation,harmonized,1633374,12,2015,2020,2020,2025,
VCS1490,Delta Air Lines,harmonized,1624400,7,2011,2012,2017,2018,
CAR766,Highland Fairview,harmonized,1524501,5,2010,2013,2023,2023,
VCS977,Takeda Pharmaceutical Company,harmonized,1500000,4,2016,2017,2020,2020,
